abagen-genepc1,aghourian2017-feobv,alarkurtti2015-raclopride,bedard2019-feobv,beliveau2017-az10419369,beliveau2017-cimbi36,beliveau2017-cumi101,beliveau2017-dasb,beliveau2017-sb207145,ding2010-mrb,dubois2015-abp688,dukart2018-flumazenil,dukart2018-fpcit,fazio2016-madam,finnema2016-ucbj,gallezot2010-p943,gallezot2017-gsk189254,hcps1200-megalpha,hcps1200-megbeta,hcps1200-megdelta,hcps1200-meggamma1,hcps1200-meggamma2,hcps1200-megtheta,hcps1200-megtimescale,hcps1200-myelinmap,hcps1200-thickness,hesse2017-methylreboxetine,hillmer2016-flubatine,jaworska2020-fallypride,kaller2017-sch23390,kantonen2020-carfentanil,laurikainen2018-fmpepd2,margulies2016-fcgradient01,margulies2016-fcgradient02,margulies2016-fcgradient03,margulies2016-fcgradient04,margulies2016-fcgradient05,margulies2016-fcgradient06,margulies2016-fcgradient07,margulies2016-fcgradient08,margulies2016-fcgradient09,margulies2016-fcgradient10,mueller2013-intersubjvar,naganawa2020-lsn3172176,neurosynth-cogpc1,norgaard2021-flumazenil,normandin2015-omar,radnakrishnan2018-gsk215083,raichle-cbf,raichle-cbv,raichle-cmr02,raichle-cmruglu,reardon2018-scalinghcp,reardon2018-scalingnih,reardon2018-scalingpnc,rosaneto-abp688,sandiego2015-flb457,sasaki2012-fepe2i,satterthwaite2014-meancbf,savli2012-altanserin,savli2012-dasb,savli2012-p943,savli2012-way100635,smart2019-abp688,smith2017-flb457,sydnor2021-SAaxis,tuominen-feobv,turtonen2020-carfentanil,xu2020-FChomology,xu2020-evoexp
1.1031814,23.406847,20.453402,5.7874703,19.210197,48.83724,22.50201,4.705231,1.9145408,0.07742506,2.3829782,69.36441,25.335485,8.520125,3.8654416,0.9058527,16.110752,0.42684066,0.09331553,0.24637544,0.016985094,0.008264489,0.20821881,12.451323,1.4587005,2.226639,10.395382,9.957168,0.74839705,10.937514,8.6128025,8.9882,-4.427947,4.252762,-1.0907025,0.6737874,-0.5966706,0.09660557,0.013878512,-0.22601335,0.30046424,0.13053578,0.6001313,4.0936685,0.0006945187,853.59406,1.2070962,0.47887462,6110.0835,5686.5303,5513.719,6754.641,0.9796606,0.94175494,1.004794,3.3991973,0.7934309,0.10151893,57.565544,55.21327,4.9103966,34.152725,24.30305,0.85148424,0.6384661,-1.3029635,1.2908032,0.6144398,3.2955277,13.74049
-0.36621898,26.028206,22.210236,6.675475,21.902983,58.060993,33.92429,3.994323,2.48705,0.10673889,2.6008167,70.93466,26.929304,9.234712,3.7502418,1.1452298,18.068832,0.26474452,0.108107686,0.32409075,0.024871262,0.013841369,0.26434442,19.679474,1.2239625,2.6711047,10.360126,11.045652,1.0603209,14.887433,32.293934,11.785432,-0.5497085,-0.0710295,2.5065472,-0.53667486,1.0052683,0.050978594,0.18445417,-0.15100677,0.2518752,0.2124318,0.6760707,4.0719733,0.00093035784,925.6413,1.4414446,0.54539007,5997.3804,3986.0376,5066.595,6531.7905,1.0430081,1.140296,1.1883466,4.019029,1.1972628,0.14134148,71.14226,76.44731,5.1699195,53.989517,35.886944,0.9959064,0.980797,0.9185604,1.456264,1.5155424,1.1306583,17.46523
2.1543357,22.827211,20.068462,5.988027,22.356564,48.911785,15.285897,4.3590946,1.5241286,0.08684288,2.2659442,70.99585,25.456184,10.558868,3.8459995,1.3215616,15.259016,0.39904076,0.08261532,0.28019103,0.01782026,0.010357548,0.20997506,13.334997,1.5159482,2.066309,10.159034,10.256852,0.63129807,8.999834,0.8102347,7.7668123,-1.9933599,2.8373573,-0.08030735,0.803102,-0.60832715,0.034006637,-0.20059532,0.07079817,-0.23462512,0.012402116,0.5647405,4.446402,0.00040648016,930.1495,1.1915622,0.49623644,5614.1245,4028.1772,5215.7935,6439.6704,0.95046294,0.85583705,0.9440567,3.5695088,0.6635476,0.13593079,65.49509,56.366943,1.6428152,28.759209,16.252958,0.6377109,0.57610935,-1.2513955,1.2564336,0.2759257,3.3839598,3.2665489
2.2956305,21.870398,19.496273,6.0292253,21.640528,49.212837,19.252922,4.7748404,1.6482128,-0.0028415853,2.2564254,78.4933,29.327463,8.732024,3.8671415,1.0113127,14.737411,0.37879714,0.07924959,0.2997034,0.015893932,0.0087378975,0.21761805,14.603217,1.4886527,2.1860704,11.56631,9.217141,0.71723074,16.838808,1.5915618,6.83236,-4.3597913,4.9889307,-1.2556217,0.7169264,-0.69657344,0.042397805,-0.062408477,-0.17199165,0.19804947,0.143954,0.5509106,3.7875586,-0.000107103166,979.1899,1.1506162,0.3994804,6568.8687,8436.869,6034.86,7053.0044,0.8640634,1.0348535,1.011148,3.3830297,0.74297506,0.028839957,59.599495,71.507645,7.4448714,41.083637,18.774979,0.72354656,0.546567,-1.4237014,1.3139117,0.2739251,3.2245219,4.5610948
-0.06629042,25.091442,21.71785,6.2206507,21.280262,56.785103,32.08406,3.3951955,2.2978723,0.08696396,2.5714412,69.401405,27.03761,7.1109505,3.7877183,1.0618775,17.746479,0.31228405,0.11442164,0.29400423,0.021331523,0.010155338,0.24780321,14.684273,1.2816708,2.5774248,10.904986,11.042452,1.0025905,16.394726,26.796871,10.934427,1.5800648,0.6779618,2.3694453,-1.7377331,-0.16055338,-0.48588258,0.31522265,0.049164962,0.11190389,0.1219179,0.63985145,4.1517477,0.0025084072,871.1129,1.3309805,0.5251738,6132.3066,4226.911,5389.9385,6872.2603,1.04077,1.2452321,1.145188,3.69549,1.0455551,0.14067045,66.66934,70.97838,3.773177,43.898613,34.64189,0.95169145,0.91124666,0.42769924,1.3685776,1.3268077,1.4494655,10.318632
2.0117316,22.95827,21.691195,5.918184,22.51395,49.641155,16.84616,4.9525504,1.7211416,0.07470681,2.301456,72.42019,25.726923,11.063888,3.6761842,1.0965513,14.615433,0.4421784,0.08281197,0.25190595,0.015820941,0.008375038,0.19890769,12.293996,1.4795542,2.055272,11.463795,9.909516,0.66288984,11.593264,1.146253,8.048041,-4.3528214,4.80583,-1.1639868,0.6673806,-0.6612418,0.07081692,-0.09144166,-0.17313014,0.1908469,0.124837704,0.5591497,4.126232,3.9431594e-05,921.1109,1.1512043,0.49893212,6335.403,9116.655,5756.397,6849.7324,0.9112779,0.779091,0.682997,3.3765368,0.67253864,0.12344448,62.646915,64.93533,5.637317,51.473553,21.906054,0.7360296,0.61178946,-1.51706,1.2271194,0.30250773,3.46275,4.275554
0.21406423,23.872843,20.365099,6.3804417,22.640297,57.9453,31.827408,3.2661002,2.6672282,0.120124854,2.5562663,71.388626,24.776619,8.961556,5.085223,1.1704795,19.138506,0.38461813,0.097139455,0.2698518,0.017777653,0.00927871,0.22133425,13.360845,1.2610413,2.7420828,13.737065,11.826953,1.1004113,12.845794,25.509382,11.437733,1.5761839,0.9304459,0.898801,-1.0024475,0.18570535,0.06982002,0.7974794,0.23244365,-0.09432386,0.10893153,0.6653367,4.8759828,-0.0014771878,928.31805,1.4533037,0.50117123,5496.009,3651.8816,4927.052,6209.3213,1.075421,1.1577375,1.117645,4.1589847,1.2336347,0.05706019,64.42039,68.172,0.65993595,31.138205,29.482079,0.9896618,1.2229892,0.0528778,1.3248956,1.1085887,0.408552,41.74947
-0.3084327,33.279526,21.315704,8.278585,19.859377,52.123837,41.06008,7.409681,2.3483136,0.08753084,2.692896,70.69347,33.681038,12.749238,3.8762577,0.9145681,20.754818,0.29790023,0.09752234,0.32039493,0.021699538,0.012640703,0.24984226,17.848389,1.2810559,2.8897421,16.082167,10.36709,1.9830587,19.838604,30.246397,9.688031,-3.6457937,-1.5447004,0.30427805,0.18015954,0.46488306,0.037082724,0.11889487,-0.196417,0.2933227,-0.3333531,0.6042225,4.142758,0.0016192865,913.6604,1.3755609,0.54276156,6204.3174,5092.2217,5104.457,6047.8364,0.9551457,1.0446931,1.037037,3.8575308,1.6831955,0.4856031,66.14267,64.78933,13.439758,35.639668,38.433846,1.0929213,1.3983002,-0.14228657,1.963597,1.3359537,1.9888313,11.209187
1.0286828,24.25882,22.255627,6.142853,22.265448,59.439198,27.953842,4.065499,2.3418393,0.07996827,2.3878448,68.44765,27.2482,8.157198,3.9998946,1.0023808,15.423426,0.40616372,0.08952793,0.26553264,0.016058827,0.007925483,0.2147914,12.626064,1.3892874,2.437236,9.914569,10.72079,0.7928632,12.286818,12.30321,9.496918,-3.6852503,4.841595,-0.5658301,-0.3430558,-0.24135834,0.17914325,-0.2071602,0.013453122,-0.061673265,-0.037758127,0.6079731,4.215944,0.0007131635,906.4911,1.2739207,0.49132505,5610.005,4043.7183,5285.0156,6611.8623,1.0942488,1.0602031,1.0018576,3.5763772,0.86750704,0.16749322,69.390305,69.48883,4.0205035,45.656536,30.346025,0.8014399,0.8595849,-0.8210279,1.2433443,0.7372465,2.247258,13.473781
1.268374,23.186087,20.615772,6.3334136,20.420593,55.761738,28.392696,3.8617463,2.120948,0.08994635,2.3567014,69.5232,26.599625,7.2572646,4.0732255,0.974586,14.776614,0.37544808,0.08432097,0.29052955,0.019227311,0.011699684,0.2187744,15.6406555,1.3893738,2.6243193,14.9773245,10.5312605,0.91919595,10.778603,11.401616,9.198903,-3.8970118,4.830085,-1.0316182,-0.08133528,-0.30910242,-0.05166924,-0.40972155,0.04745217,-0.17496566,-0.09536482,0.5883404,4.3549957,0.0005602367,917.67847,1.2924043,0.5348486,5331.216,6390.0474,4997.308,6078.6147,0.9981158,1.042899,1.1257021,3.5753992,1.1006491,0.10798224,58.502693,68.29395,3.3962507,34.01762,29.730747,0.7677275,0.9165175,-0.8256423,1.2640381,0.61911243,2.6032436,8.745155
